region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
area_pop_000000,258.25078987466503,258,8432.079434167574,0.030627177067166694,16630655.537418019,6.421132000972976,40.218888170424314,-165643.40202189283,-47334.47500909571,-79.35333327624504,36.558489572596
area_pop_000001,6693.823072529941,6694,8432.079434167574,0.7938519940177442,16226486.611775316,6.265081506366548,1068.4335177008802,-170045.22948690652,-47288.71182672381,-79.40258152551885,36.558132159413
area_pop_000002,4712.120231514185,4712,8432.079434167574,0.5588325238517362,16346201.735255627,6.3113037739524716,746.615976711767,-174462.34352938048,-47219.82877528189,-79.45200551484086,36.55796039501728
area_pop_000003,422.2137128114915,422,8432.079434167574,0.050072312068200175,16095686.877338737,6.214579446563806,67.93922524314077,-178861.80091981307,-47191.47838607369,-79.50122240497927,36.55740581162702
area_pop_000004,114.02763687838981,114,8432.079434167574,0.013523074322134487,77487581.34587179,29.918122417874457,3.811323293812866,8442.916107304423,-46036.471364935824,-77.40550912244737,36.58447420661736
area_pop_000005,479.0335681249406,479,8432.079434167574,0.05681084622896836,77319027.9439092,29.853043585547027,16.0463896001833,34880.59689576944,-46026.97233855896,-77.10962717371964,36.58396259460034
area_pop_000006,162.67245153349793,163,8432.079434167574,0.01929209192151748,77319884.27930658,29.85337421849239,5.449047412293249,17258.021767505496,-46026.95869032686,-77.30685278061436,36.58444190919339
area_pop_000007,608.1793653732517,608,8432.079434167574,0.0721268543686688,77256967.40842658,29.82908187883689,20.388806059925773,-367.7375578581342,-46023.40111905705,-77.50411562872362,36.58462928156859
area_pop_000008,2422.236683656336,2422,8432.079434167574,0.287264452685444,77146969.4007775,29.786611410648213,81.31964560394496,-53251.1595708655,-46017.20470398685,-78.09596684556523,36.58320638615572
area_pop_000009,575.2194179779254,575,8432.079434167574,0.0682179790250887,77093212.93509208,29.765855923211458,19.32480690163418,-9184.631138829458,-46014.102980557065,-77.60279221517771,36.58466927973184
area_pop_000010,875.9499674775442,876,8432.079434167574,0.10388303078931077,77089308.1309644,29.764348269909075,29.42950269007251,-44451.244902082944,-46013.91224920576,-77.99748362088691,36.58368449657902
area_pop_000011,546.9080530425531,547,8432.079434167574,0.06486040096188261,77085561.58134572,29.762901719014216,18.375495044327533,43702.44070622198,-46013.66689067177,-77.01089659024682,36.58372113706989
area_pop_000012,1003.1262708366269,1003,8432.079434167574,0.11896546737591981,77006972.03853616,29.73255812689658,33.738310257575236,-35629.64284869706,-46009.21265966171,-77.89875664100073,36.5840953433959
area_pop_000013,351.71303429206904,352,8432.079434167574,0.041711304671407025,76806025.82924463,29.6549723617382,11.860170699260557,-26818.86174436471,-45997.81728908293,-77.80015006179568,36.58448515196372
area_pop_000014,326.6005422928262,327,8432.079434167574,0.03873309601062465,76788705.47053558,29.648284933853905,11.015832552253208,-17997.875650557806,-45996.835037478144,-77.70142814637667,36.58470019424013
area_pop_000015,1220.5532019519699,1221,8432.079434167574,0.14475115082599604,76638537.77225958,29.590304861406192,41.2484159142241,26044.11221229233,-45989.105729053896,-77.20852039659113,36.584585139889114
area_pop_000016,827.9152555003785,828,8432.079434167574,0.09818636813898936,76494062.46302876,29.534522632656085,28.03211908307464,-88530.61901392476,-45980.21990104181,-78.4907833908758,36.58093157089152
area_pop_000017,1490.6211298807448,1491,8432.079434167574,0.17677977793242894,76166614.59352644,29.408094303431113,50.6874438887674,-97321.88092082214,-45961.63566761586,-78.58916451771239,36.580247219111754
area_pop_000018,820.9501461656812,821,8432.079434167574,0.09736034302987168,76053583.00550586,29.364452563312888,27.957277405244493,-62066.615586474974,-45955.17499579126,-78.19462793227898,36.58323606939603
area_pop_000019,419.73891599835514,420,8432.079434167574,0.04977881426229618,75885505.49720173,29.299557474554227,14.325776638875368,-79706.55639391988,-45945.59969372215,-78.39203905858663,36.582018235381376
area_pop_000020,471.2900100971008,471,8432.079434167574,0.05589250122424009,75666722.08691773,29.215084727590295,16.131735180354326,-70891.36530233696,-45933.188145447115,-78.29338932763584,36.582822597795165
area_pop_000021,786.9228814396005,787,8432.079434167574,0.09332488949889578,74522956.20992623,28.773474253616687,27.34890039706234,-106137.44919319081,-45868.39684390669,-78.68782605855618,36.580153338653965
area_pop_000022,667.0014717050474,667,8432.079434167574,0.07910284490469754,73682911.0380531,28.44913099948331,23.445407584406055,-114951.84777257341,-45820.74453815509,-78.78646739404547,36.5795671149587
area_pop_000023,952.6767733453128,953,8432.079434167574,0.1129824239421865,72747259.7562927,28.087874019952615,33.91772451943374,52397.78572498984,-45779.8826349248,-76.91356747328301,36.58539538294846
area_pop_000024,765.4225868647709,765,8432.079434167574,0.09077506833761635,72399864.91492482,27.953744121833964,27.381755500398913,-123765.2913125156,-45747.98108048663,-78.8851004789244,36.5791266073988
area_pop_000025,960.2054245751684,960,8432.079434167574,0.113875282137918,71161727.51045585,27.475696597396354,34.947446051874046,-132581.5737899666,-45677.72490306133,-78.98376368559067,36.57858206059014
area_pop_000026,629.8326097512289,630,8432.079434167574,0.0746948145672215,70136596.39848077,27.079891262273758,23.25831384074565,-141398.83715328702,-45619.546060346984,-79.0824341812262,36.577847307115974
area_pop_000027,765.9485716863952,766,8432.079434167574,0.09083744735405362,69422117.01773944,26.804029231135463,28.57587436133192,61333.590502429244,-45578.97590566362,-76.8135457093591,36.5866786479219
area_pop_000028,1459.7881686773085,1460,8432.079434167574,0.17312315189561786,69192755.26388279,26.715472162884325,54.64205011152246,70140.12553956706,-45565.98550044047,-76.71498458146978,36.586192032927976
area_pop_000029,547.7171397050435,548,8432.079434167574,0.0649563543585278,68960856.90234265,26.62593570493122,20.57081282606734,-150211.19357044072,-45552.881752196605,-79.18104946260094,36.5771088174823
