site_no,facility_id,generator_id,registration_no,full_address,street_address,city,zipcode,stack_height,generation_budget_mw,generation_budget_method,generation_budget_source_id,pm25_budget_lb_per_hour,pm25_budget_method,pm25_budget_source_id,pm25_lb_per_mwh,pm25_factor_method,pm25_factor_source_id,observed_capacity_mw,observed_pm25_budget_lb_per_hour,observed_pm25_lb_per_mwh,imputation_tier,is_assumption,is_upper_bound,source_url,local_pdf_path,notes,generation_budget_mwh,lon,lat,geocode_match,geocode_match_type,geocode_address,matrix_index,region_id
VA_DEQ_74241_SITE_02,deq_va_deq_74241_site_02,deq_va_deq_74241_site_02_gensets,74241,"13710 University Blvd Gainesville, VA 20155",13710 University Blvd,Gainesville,20155,15m,48.8776315788,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.700913242009,permit_extracted_pm25_budget,deq_permit_74241,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.700913242009,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74241-3_Gainesville_Crossing_Data_Campus_-_GCDC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,48.8776315788,-77.585125595421,38.800392360504,True,Exact,"13710 UNIVERSITY BLVD, GAINESVILLE, VA, 20155",2773,area_pop_002773
VA_DEQ_74241_SITE_03,deq_va_deq_74241_site_03,deq_va_deq_74241_site_03_gensets,74241,"13744 University Blvd Gainesville, VA 20155",13744 University Blvd,Gainesville,20155,15m,48.8776315788,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.700913242009,permit_extracted_pm25_budget,deq_permit_74241,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.700913242009,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74241-3_Gainesville_Crossing_Data_Campus_-_GCDC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,48.8776315788,-77.58556066783,38.801316913219,True,Exact,"13744 UNIVERSITY BLVD, GAINESVILLE, VA, 20155",2773,area_pop_002773
VA_DEQ_74241_SITE_04,deq_va_deq_74241_site_04,deq_va_deq_74241_site_04_gensets,74241,"13750 University Blvd Gainesville, VA 20155",13750 University Blvd,Gainesville,20155,15m,48.8776315788,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.700913242009,permit_extracted_pm25_budget,deq_permit_74241,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.700913242009,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74241-3_Gainesville_Crossing_Data_Campus_-_GCDC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,48.8776315788,-77.585652555473,38.801473462574,True,Exact,"13750 UNIVERSITY BLVD, GAINESVILLE, VA, 20155",2773,area_pop_002773
VA_DEQ_74241_SITE_05,deq_va_deq_74241_site_05,deq_va_deq_74241_site_05_gensets,74241,"13760 University Blvd Gainesville, VA 20155",13760 University Blvd,Gainesville,20155,15m,48.8776315788,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.700913242009,permit_extracted_pm25_budget,deq_permit_74241,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.700913242009,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74241-3_Gainesville_Crossing_Data_Campus_-_GCDC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,48.8776315788,-77.585811822889,38.801733314313,True,Exact,"13760 UNIVERSITY BLVD, GAINESVILLE, VA, 20155",2773,area_pop_002773
VA_DEQ_74242_SITE_01,deq_va_deq_74242_site_01,deq_va_deq_74242_site_01_gensets,74242,22318 Glenn Drive Sterling VA 20167,22318 Glenn Drive,Sterling,20167,15m,899.698684207,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,12.901826484,permit_extracted_pm25_budget,deq_permit_74242,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,12.901826484,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74242-2_Vantage_Data_Centers_VA2_LLC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,899.698684207,-77.428123102601,38.997758196487,True,Non_Exact,"22318 GLENN DR, STERLING, VA, 20164",3606,area_pop_003606
VA_DEQ_74244_SITE_01,deq_va_deq_74244_site_01,deq_va_deq_74244_site_01_gensets,74244,"21320 Beaumeade Circle Ashburn, VA 20147",21320 Beaumeade Circle,Ashburn,20147,15m,2.70657894736,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.0388127853881,permit_extracted_pm25_budget,deq_permit_74244,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.0388127853881,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74244-2_Amazon_Data_Services_Inc_IAD-169_179.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,2.70657894736,-77.452319023051,39.015062412934,True,Exact,"21320 BEAUMEADE CIR, ASHBURN, VA, 20147",3677,area_pop_003677
VA_DEQ_74244_SITE_02,deq_va_deq_74244_site_02,deq_va_deq_74244_site_02_gensets,74244,"21310 Beaumeade Circle Ashburn, VA 20147",21310 Beaumeade Circle,Ashburn,20147,15m,2.70657894736,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.0388127853881,permit_extracted_pm25_budget,deq_permit_74244,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.0388127853881,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74244-2_Amazon_Data_Services_Inc_IAD-169_179.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,2.70657894736,-77.452595251556,39.014900925499,True,Exact,"21310 BEAUMEADE CIR, ASHBURN, VA, 20147",3677,area_pop_003677
VA_DEQ_74246_SITE_01,deq_va_deq_74246_site_01,deq_va_deq_74246_site_01_gensets,74246,9101 Freedom Center Boulevard Manassas VA 20110,9101 Freedom Center Boulevard,Manassas,20110,15m,12.8960526315,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.184931506849,permit_extracted_pm25_budget,deq_permit_74246,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.184931506849,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,"data/raw/deq/pdfs/74246-2_SI_NVA05A,_LLC_and_SI_NVA05D,_LLC.pdf",At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,12.8960526315,-77.517709865309,38.758810729784,True,Exact,"9101 FREEDOM CENTER BLVD, MANASSAS, VA, 20110",2675,area_pop_002675
VA_DEQ_74247_SITE_01,deq_va_deq_74247_site_01,deq_va_deq_74247_site_01_gensets,74247,22715 Relocation Drive Sterling VA 20166,22715 Relocation Drive,Sterling,20166,15m,27.8618421052,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.399543378995,permit_extracted_pm25_budget,deq_permit_74247,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.399543378995,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74247-1_Aligned_Data_Centers_IAD03.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,27.8618421052,-77.439342398453,38.989056314393,True,Exact,"22715 RELOCATION DR, STERLING, VA, 20166",3529,area_pop_003529
VA_DEQ_74250_SITE_01,deq_va_deq_74250_site_01,deq_va_deq_74250_site_01_gensets,74250,"43920 Lone Cedar Lane Chantilly, VA 20152",43920 Lone Cedar Lane,Chantilly,20152,15m,90.7499999995,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,1.30136986301,permit_extracted_pm25_budget,deq_permit_74250,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,1.30136986301,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74250-2_Amazon_Data_Services_Inc_IAD-156_IAD-157_IAD-158_IAD-159_IAD-327.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,90.7499999995,-77.5191754,38.8998474,True,zip_centroid_approx,ZCTA centroid 20152,3176,area_pop_003176
